S&S Hotels and Suites Fresh Graduate & Exp. Job Recruitment (5 Positions) - UPDATED | Hot Nigerian Jobs.
Advertising Officer.
Android Developer.
FIELD AND DATA OFFICER.
Software Engineer.
Développeur Electron.
Instrumentation Supervisor Vacancy at Adexen Recruitment Agency.
HR and Communication Specialist Vacancy at Adexen Recruitment Agency.
Driver.
Sales / Marketing Executive.
Sales Executive.
Business Development Manager Vacancy at Greenlight Planet.
Sales Agents.
Technical Advisor, Faro National Park.
Public Health Analyst.
DIRECTEUR MARKETING ET COMMERCIAL..
MTN Nigeria Job Recruitment for Senior Manager, Corporate Transactions.
Graduate Trainee.
Accountant.
Chef Assistant at Foodie-Varsity Limited | Hot Nigerian Jobs.
Head of Innovation at a Non-Governmental Organization | Hot Nigerian Jobs.
Hookup Engineer at Hobark International Limited (HIL) | Hot Nigerian Jobs.
Technical Director - OVC at Save the Children Nigeria | Hot Nigerian Jobs.
Human Resources Business Partner at Rovedana | Hot Nigerian Jobs.
Country Service Manager at ABB Nigeria Limited | Hot Nigerian Jobs.
Project Manager-STEER at Save the Children Nigeria | Hot Nigerian Jobs.
Research Manager, Quantitative at Kantar Nigeria | Hot Nigerian Jobs.
Accountant at a Fast Growing Indigenous Healthcare Company | Hot Nigerian Jobs.
Supervisor, RM Store/PM Store at a Fast Growing Indigenous Healthcare Company | Hot Nigerian Jobs.
Medical Sales Representatives at White Tulip Consulting Limited - 11 Positions | Hot Nigerian Jobs.
Packing Conveyor Operator at a Fast Growing Indigenous Healthcare Company | Hot Nigerian Jobs.
Logistic/Import & Export Manager at a Fast Growing Indigenous Healthcare Company | Hot Nigerian Jobs.
Business Development Analyst at Pivotage Consulting | Hot Nigerian Jobs.
Purchase Officer at a Fast Growing Indigenous Healthcare Company | Hot Nigerian Jobs.
Project Engineer at a Reputable Construction Company | Hot Nigerian Jobs.
Administrative Manager at a Fast Growing Indigenous Healthcare Company | Hot Nigerian Jobs.
Accountants at Dunu Nigeria Limited | Hot Nigerian Jobs.
Inprocess Control Officer at a Fast Growing Indigenous Healthcare Company | Hot Nigerian Jobs.
Treasury Clerk at the African Development Bank Group (AfDB) | Hot Nigerian Jobs.
African Development Bank Group (AfDB) Fresh Job Recruitment (11 Positions) - UPDATED | Hot Nigerian Jobs.
Accountant.
ICT Officer.
Exxon Mobil Recruitment for a Marine Operations Supervisor.
Head, Business Development (Maritime subsidiary) - Any City.
ExxonMobil Marine Operations Supervisor Recruitment | Hot Nigerian Jobs.
International Tobacco Company Multiple Job Vacancies.
Community Engagement and Information Assistant.
Supervisor, Finished Goods at a Fast Growing Indigenous Healthcare Company | Hot Nigerian Jobs.
Graduate Trainee Recruitment Consultant at Oscar Temple | Hot Nigerian Jobs.
Receptionist/Executive Assistant at 478 Limited | Hot Nigerian Jobs.
Machine Operator, ROPP Capping Machine at a Fast Growing Indigenous Healthcare Company | Hot Nigerian Jobs.
Machine Operator, Bottle Filling Machine at a Fast Growing Indigenous Healthcare Company | Hot Nigerian Jobs.
Regional Business and Sales Manager at White Tulip Consulting Limited - Aba & Abuja | Hot Nigerian Jobs.
Google Business Internship Programme 2018 | Hot Nigerian Jobs.
PricewaterhouseCoopers (PwC) Fresh Graduate & Exp. Job Recruitment (9 Positions) | Hot Nigerian Jobs.
Production Pharmacist.
Production Supervisor (Manufacturing Liquids).
Hobark International Limited (HIL) Fresh Job Recruitment (4 Positions) | Hot Nigerian Jobs.
Inprocess Control Officer.
UNIT MANAGER.
Production Supervisor (Manufacturing Liquids) at a Fast Growing Indigenous Healthcare Company | Hot Nigerian Jobs.
Production Pharmacist at a Fast Growing Indigenous Healthcare Company | Hot Nigerian Jobs.
Real Estate and Renting Director at a Leading Properties Development and Real Estate Company | Hot Nigerian Jobs.
Inventory Manager at a Large, Modern Integrated Farm | Hot Nigerian Jobs.
Quantity Surveyor at a Reputable Construction Company | Hot Nigerian Jobs.
Quantity Surveyor at a Reputable Corporate Entity | Hot Nigerian Jobs.
Procurement Assistant at the Danish Refugee Council (DRC) | Hot Nigerian Jobs.
Senior IT Executive.
Marketing and Communications Manager (MARCOMM) at a Pan African Information Technology and Engineering Company | Hot Nigerian Jobs.
Head of Marketing & Credit.
Civil Engineer at a Reputable Corporate Entity | Hot Nigerian Jobs.
Head of Engineering - SBU at a Reputable Corporate Entity | Hot Nigerian Jobs.
Quality Control Manager at a Reputable Corporate Entity | Hot Nigerian Jobs.
Legal/Compliance Officer at a Reputable Corporate Entity | Hot Nigerian Jobs.
University of Ibadan Convocation and 69th Foundation Day Ceremonies 2017 | Hot Nigerian Jobs.
Technical Adviser to the Managing Director at PriceWaterhouseCoopers (PwC) | Hot Nigerian Jobs.
Project Engineer.
Marketer at Tranquil and Quest | Hot Nigerian Jobs.
Quantity Surveyor.
Head of Operations - SBU at a Reputable Corporate Entity | Hot Nigerian Jobs.
Legal Counsel - Public Sector Operations - Policy and Governance at the African Development Bank Group (AfDB) | Hot Nigerian Jobs.
Chief Operating Officer at a Reputable Corporate Entity | Hot Nigerian Jobs.
Data Entry Officers at Knowledgeware Technologies Limited | Hot Nigerian Jobs.
Graduate VAS Content Officer at Dahfex Global Solutions (DGS) | Hot Nigerian Jobs.
Graphic Artist at Timekeepers International Limited | Hot Nigerian Jobs.
Female Receptionist at Technology Advantage Network Limited | Hot Nigerian Jobs.
Marketing Executive at Enroyale Global Services Limited | Hot Nigerian Jobs.
Business Development Officer at Crestsage Nigeria Limited | Hot Nigerian Jobs.
Specialist, FCC Controls at Standard Chartered Bank | Hot Nigerian Jobs.
Entry-level Female Accountant/Admin Officer at Dahfex Global Solutions (DGS) | Hot Nigerian Jobs.
Photocopier Service Technician at SOFWOK Nigeria - Rivers  | Hot Nigerian Jobs.
Recovery Agent at Finchglow Travels Limited | Hot Nigerian Jobs.
Photocopier Service Technician at SOFWOK Nigeria - Kaduna | Hot Nigerian Jobs.
Graduate Credit Analyst at Standard Chartered Bank Nigeria | Hot Nigerian Jobs.
Photocopier Service Technician at SOFWOK Nigeria - Kano | Hot Nigerian Jobs.
Graduate Teller Recruitment at Standard Chartered Bank | Hot Nigerian Jobs.
Business Development Analyst at Dahfex Global Solutions (DGS)  | Hot Nigerian Jobs.
Bar/Restaurant Manager at Simeon's Pivot Resources | Hot Nigerian Jobs.
Restaurant Supervisor at Bolton White Hotels & Apartments | Hot Nigerian Jobs.
Organizational Development and Grants Manager at Mercy Corps Nigeria | Hot Nigerian Jobs.
Child Protection (PSS) Specialist at the United Nations Children's Fund (UNICEF) | Hot Nigerian Jobs.
General Manager Vacancy at Nicole Sinclair.
Vacancy at MultiChoice Nigeria for a Content Buyer.
Business Development Officer at Adron Homes & Properties Limited | Hot Nigerian Jobs.
Senior, IT Infrastructure Solutions Sales and Marketing at a Pan African Information Technology and Engineering Company | Hot Nigerian Jobs.
Head, Group Financial Crime Control at Stanbic IBTC Bank | Hot Nigerian Jobs.
Writer/ Editor Recruitment at Reboot Nigeria | Hot Nigerian Jobs.
Sales and Marketing Executive at Bolton White Hotels & Apartments | Hot Nigerian Jobs.
Auditor.
Store Officer.
Maintenance Electrical Engineer at a Fast Growing Indigenous Healthcare Company | Hot Nigerian Jobs.
Accounting Assistant.
Finance Manager at Pivotage Consulting | Hot Nigerian Jobs.
Enroyale Global Services Limited Fresh Job Recruitment (5 Positions) - UPDATED | Hot Nigerian Jobs.
SOFWOK Nigeria Fresh Job Recruitment (5 Positions) | Hot Nigerian Jobs.
Vitachem Nigeria Fresh Graduate & Exp. Job Recruitment (4 Positions) - Latest Opening | Hot Nigerian Jobs.
Recrutement d'un(e) Ingenieur d'Etude Electricité chez SHLIFE SAS Engineering.
Recrutement d'un(e) Ingenieur Climatique et CVC chez SHLIFE SAS Engineering.
Associate - Front Desk at APIN Public Health Initiatives (APIN) | Hot Nigerian Jobs.
Boiler Technician at a Footwear Production Company | Hot Nigerian Jobs.
Industrial Electrician at a Footwear Production Company | Hot Nigerian Jobs.
Consultant - Rapid Humanitarian Needs Analysis at Christian Aid Nigeria (CA) | Hot Nigerian Jobs.
Communication Manager at a Law Firm - SESEWA Brand | Hot Nigerian Jobs.
Consultant - Market Assessment at Save the Children Nigeria | Hot Nigerian Jobs.
Graduate Hostess at a 5-Star Hotel - Workforce Group | Hot Nigerian Jobs.
Graduate Finance Analyst Intern at the SESEWA Brand | Hot Nigerian Jobs.
Back Office Engineer at Telinno Consulting Limited (TCL) | Hot Nigerian Jobs.
Graduate VAS Content Officer Job at Dahfex Global Solutions.
Data Entry Officer.
Graduate Female Accountant / Admin Officer Job at Dahfex Global Solutions.
Business Development Analyst Job at Dahfex Global Solutions.
PricewaterhouseCoopers Recruitment for Senior Associate - Human Capital.
Service Delivery Manager Vacancy at Rovedana.
Business Development Manager - Health Vacancy at Rovedana.
Union Bank of Nigeria Plc Graduate Management Trainee Programme 2018 | Hot Nigerian Jobs.
Sales and Marketing Executive.
Union Bank Plc Management Trainees Recruitment Programme 2018.
Operations Officer.
Driver.
Female Receptionist.
Sales & Operations Manager.
Recrutement d'un(e) Comptable Auditeur (Auditrice) au sein de GIZ Cameroon.
Graduate Trainee.
Facility Officer.
Driver and Loader needed in a Reputable Company.
Marketer.
eRecruiter Nigeria Limited Fresh Job Recruitment (8 Positions) - UPDATED | Hot Nigerian Jobs.
Stresert Services Limited Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
Laboratory Scientist.
Account & Administrative Officer.
Graduate Trainee - Online Customer Service Representative at Vitachem Nigeria | Hot Nigerian Jobs.
Workforce Group Fresh Graduate Recruitment (3 Positions) | Hot Nigerian Jobs.
Uber Driver Partner at Uber - Abuja | Hot Nigerian Jobs.
Professional Driver at Uber - Abuja | Hot Nigerian Jobs.
Logistics Platform Deputy Program Manager at Premiere Urgence Internationale (PUI) | Hot Nigerian Jobs.
Sales Executive - Electrical at JMG Limited | Hot Nigerian Jobs.
Graduate HR Officer at Pivotage Consulting | Hot Nigerian Jobs.
Assistant Lecturer, Faculty of Maritime Engineering & Technology at the Nigerian Maritime University  (12 Positions)  | Hot Nigerian Jobs.
Assistant Lecturer, Faculty of Maritime Transportation at the Nigerian Maritime University (5 Positions)  | Hot Nigerian Jobs.
Assistant Lecturer, Faculty of Maritime Environmental Management at the Nigerian Maritime University (5 Positions) | Hot Nigerian Jobs.
Lecturer II, Faculty of Maritime Transportation at the Nigerian Maritime University (5 Positions) | Hot Nigerian Jobs.
Graduate Assistant, Faculty of Maritime Transportation at the Nigerian Maritime University (5 Positions) | Hot Nigerian Jobs.
Graduate Assistant, Faculty of Maritime Engineering & Technology at the Nigerian Maritime University (12 Positions) | Hot Nigerian Jobs.
Lecturer II, Faculty of Science at the Nigerian Maritime University (5 Positions) | Hot Nigerian Jobs.
Graduate Assistant, Faculty of Maritime Environmental Management at the Nigerian Maritime University (5 Positions) | Hot Nigerian Jobs.
Lecturer II, Faculty of General Studies at the Nigerian Maritime University (11 Positions) | Hot Nigerian Jobs.
Senior Lecturer, Faculty of General Studies at the Nigerian Maritime University (11 Positions) | Hot Nigerian Jobs.
Head, Human Resource & Management Services at Alliance Community Hospital | Hot Nigerian Jobs.
IT Sales Executive at Rioss Technology Limited | Hot Nigerian Jobs.
Sales Supervisor at eRecruiter Nigeria Limited - Ogun/Ondo/Oyo | Hot Nigerian Jobs.
Sales Supervisor at eRecruiter Nigeria Limited - Abuja/Kwara/Kogi | Hot Nigerian Jobs.
Accounts Officer at Alliance Community Hospital | Hot Nigerian Jobs.
Internal Control Manager at Alliance Community Hospital | Hot Nigerian Jobs.
Sales Supervisor (FMCG) - (Kano/Kaduna) at eRecruiter Nigeria Limited | Hot Nigerian Jobs.
Team Lead - Listings Analysis, Listing Regulation at the Nigerian Stock Exchange (NSE) | Hot Nigerian Jobs.
Newgate Medical Services Limited Fresh Graduate & Exp. Job Recruitment (8 Positions) | Hot Nigerian Jobs.
Alliance Community Hospital Fresh Job Recruitment (4 Positions) | Hot Nigerian Jobs.
Internal Control Manager.
Marketing Executive Job at JCDecaux.
Sales Supervisor Vacancy at eRecruiter Nigeria - North Central.
Sales Supervisor Vacancy at eRecruiter Nigeria.
Finance Analyst Intern.
Communication Manager.
Senior PHP Developer at Jumia Nigeria | Hot Nigerian Jobs.
Junior Software Developer (J2EE) at Ikeja Electricity Distribution Company (IKEDC) | Hot Nigerian Jobs.
Senior Billing/HMO Officer at Newgate Medical Services Limited | Hot Nigerian Jobs.
Workforce Mgt centre Recruitment for Graduate Direct Sales Executive - Lagos.
News: Massive Shakeup in National Insurance Commission (NAICOM) as Directors, Staff Redeployed | Hot Nigerian Jobs.
HR & Admin Manager.
Trade Analyst.
Assistant Accountant.
Head, Human Resources Job at Clement Ashley Consulting.
Site Engineer at a Fully Registered Private Limited Liability Company - Bradfield Consulting Limited | Hot Nigerian Jobs.
Transport and Facility Supervisor at a Co-educational Christian School | Hot Nigerian Jobs.
Home Economics/Catering Craft Teacher at a Co-educational Christian School | Hot Nigerian Jobs.
Sociology Teacher at a Co-educational Christian School | Hot Nigerian Jobs.
Human Resources and Administrative Manager at Workforce Group | Hot Nigerian Jobs.
Truck Drivers at a Reputable Company | Hot Nigerian Jobs.
English/ Literature-in-English Teacher at a Co-educational Christian School | Hot Nigerian Jobs.
Marketer at a Young Holding Firm | Hot Nigerian Jobs.
Associate Consultant Vacancy at StreSERT Services.
Lecturer II, Faculty of Maritime Environmental Management at the Nigerian Maritime University (5 Positions) | Hot Nigerian Jobs.
Head, Field Force at Sandoz Nigeria | Hot Nigerian Jobs.
Graduate Assistant, Faculty of Science at the Nigerian Maritime University (5 Positions) | Hot Nigerian Jobs.
Nigerian Maritime University Massive Graduate & Exp. Job Recruitment (35 Positions) | Hot Nigerian Jobs.
Facilities Maintenance Engineer at Cameroon Oil Transportation Company (COTCO).
Clement Ashley Consulting Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
FlexEdge Limited Fresh Graduate & Exp. Job Recruitment (12 Positions) | Hot Nigerian Jobs.
Sales Representative (Female) at Peen Nigeria Limited | Hot Nigerian Jobs.
Uber Driver Partner Opportunities in Nigeria | Hot Nigerian Jobs.
Country Manager Job at International Budget Partnership.
Accountant.
Dangote Group Recruitment for National Trade Marketing Manager.
Head, Field Force Vacancy at Sandoz Nigeria.
FHI 360 Recruitment for Associate Director, Care & Treatment.
FHI 360 Recruitment for Deputy Chief of Party.
HR Intern Recruitment at CornerStone Staffing.
Head of Retail Operations.
Site Engineer Vacancy at Bradfield Consulting Ltd.
Chief Investment Officer / Renewable Energy Specialist at the African Development Bank Group (AfDB) | Hot Nigerian Jobs.
Graduate Assistant, Faculty of General Studies at the Nigerian Maritime University (11 Positions) | Hot Nigerian Jobs.
Lecturer I, Faculty of Maritime Environmental Management at the Nigerian Maritime University (5 Positions) | Hot Nigerian Jobs.
Senior Lecturer, Faculty of Maritime Engineering & Technology at the Nigerian Maritime University (12 Positions) | Hot Nigerian Jobs.
Lecturer I, Faculty of Maritime Engineering & Technology at the Nigerian Maritime University (12 Positions) | Hot Nigerian Jobs.
Reader, Faculty General Studies at the Nigerian Maritime University (11 Positions) | Hot Nigerian Jobs.
Sales Representative (Female).
Airtel Nigeria Recruitment for Regional Marketing Manager.
Information Technology Project Officer Job at Crestsage Limited.
Nigerian Stock Exchange Recruitment Team Lead - Listings Analysis, Listing Regulation.
Uber Driver Partner at Uber - Abuja | Hot Nigerian Jobs.
Professional Driver at Uber - Lagos | Hot Nigerian Jobs.
Technical Assistant, Clinical Services at FHI 360 | Hot Nigerian Jobs.
Software Developer.
Data Analyst Intern at Ovamba Cameroon Solutions.
Personal Assistant / Company Secretary.
Inventory Analyst (Intern) at Ovamba Cameroon Solutions.
Recrutement d'un Développeur-intégrateur web sénior au sein de Globals Dynamics Technologies (GDT).
Recrutement d'une Assistant de direction au sein de Matj'up.
Recrutement d'un(e) Stagiaire - Développement Durable au sein de PNUD.
Risk Analyst at Ovamba Cameroon Solutions.
Senior Lecturer, Faculty of Maritime Transportation at the Nigerian Maritime University (5 Positions) | Hot Nigerian Jobs.
Lecturer I, Faculty of Science at the Nigerian Maritime University (5 Positions) | Hot Nigerian Jobs.
Pivotage Consulting Vacancy for Graduate HR Officer.
Sales Executive.
Merchandiser - PH.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Kwara | Hot Nigerian Jobs.
Database Manager at Abt Associates | Hot Nigerian Jobs.
Speech Writer at the Institute of Chartered Accountants of Nigeria (ICAN)  | Hot Nigerian Jobs.
Political Correspondent at Nigerian NewsDirect Newspaper - Lagos | Hot Nigerian Jobs.
Business Correspondent at Nigerian NewsDirect Newspaper - Lagos | Hot Nigerian Jobs.
Regional Trade Marketing Manager at Dangote Group | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Lagos | Hot Nigerian Jobs.
Senior Manager, Research at the Institute of Chartered Accountants of Nigeria (ICAN)  | Hot Nigerian Jobs.
Correspondent at Nigerian NewsDirect Newspaper - Abia | Hot Nigerian Jobs.
Chief of Party at Abt Associates - Nationwide | Hot Nigerian Jobs.
Communications Field Officer at the International Committee of the Red Cross (ICRC) - 2 Positions | Hot Nigerian Jobs.
Correspondent at Nigerian NewsDirect Newspaper - Imo | Hot Nigerian Jobs.
Finance & Administration Manager at Abt Associates | Hot Nigerian Jobs.
Business Correspondent at Nigerian NewsDirect Newspaper - Abuja | Hot Nigerian Jobs.
Motor Painters/Sprayers at Coaster Craft Limited | Hot Nigerian Jobs.
IT Coordinator at Hilton Worldwide | Hot Nigerian Jobs.
Carpenters at Coaster Craft Limited | Hot Nigerian Jobs.
Carpenter at CSA Building Materials | Hot Nigerian Jobs.
Application Developer (Web and Mobile App) at Renux Media | Hot Nigerian Jobs.
Monitoring, Evaluation and Learning Manager (Rural Resilience Program) at Mercy Corps Nigeria | Hot Nigerian Jobs.
Deputy Chief of Party (Rural Resilience Program) at Mercy Corps Nigeria | Hot Nigerian Jobs.
Business Developer & Marketing Officer at NWP Global  | Hot Nigerian Jobs.
Technical Sales Representative at Adexen Recruitment Agency | Hot Nigerian Jobs.
Technical School Graduates at Coaster Craft Limited | Hot Nigerian Jobs.
Graduate IT Facilitators at KISoTech Digital | Hot Nigerian Jobs.
Marine Electricians at Coaster Craft Limited | Hot Nigerian Jobs.
Good Cook at Coaster Craft Limited | Hot Nigerian Jobs.
Welders at Coaster Craft Limited | Hot Nigerian Jobs.
Mechanical Technicians at Coaster Craft Limited | Hot Nigerian Jobs.
Key Account Representative - Enugu.
Key Account Representative - Ibadan.
Key Account Representative - Lagos.
Niger Delta Development Commission (NDDC) Skills Acquisition Training Programmes 2017 | Hot Nigerian Jobs.
Responsable Commercial.
Institute of Chartered Accountants of Nigeria (ICAN)  Fresh Job Recruitment (5 Positions) | Hot Nigerian Jobs.
Technical Director at Abt Associates | Hot Nigerian Jobs.
Merchandiser - Lagos.
International Committee of the Red Cross (ICRC) Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
Coaster Craft Limited Fresh Job Recruitment (11 Positions) | Hot Nigerian Jobs.
Dangote Group Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
Senior Business Analyst at erpSOFTapp Limited | Hot Nigerian Jobs.
GE Nigeria Operations Management Leadership Program 2017 | Hot Nigerian Jobs.
Graduate Planning & Scheduling Engineer at Amaiden Energy Nigeria Limited | Hot Nigerian Jobs.
PHP Developer at Sijison Consulting  | Hot Nigerian Jobs.
Mechanical Technician.
Graphic Designer at Sijison Consulting  | Hot Nigerian Jobs.
Marine Services Manager at Hobark International Limited (HIL) | Hot Nigerian Jobs.
Panel Beaters.
Officer, Public Relations (Media Relations) at MTN Nigeria | Hot Nigerian Jobs.
Welder.
Technician (Refrigerators, Air Conditioners, Gas Cookers).
Graduate Trainee / Vidora Agent.
Social Media Expert.
Technical School Graduate.
Marine Electrician.
Customer Engineer at NCR Corporation | Hot Nigerian Jobs.
Information Technology (IT) Business Analyst Intern / Project Assistant at Bincom ICT Solutions Limited | Hot Nigerian Jobs.
Executive Driver at Bellforte Group | Hot Nigerian Jobs.
Internal Auditor at Shalina Healthcare Nigeria | Hot Nigerian Jobs.
French Interpreters/Translators at TDSP Translators -  Lagos | Hot Nigerian Jobs.
Painter.
Operations and Compliance Officer at Comercio Partners | Hot Nigerian Jobs.
Unilever Nigeria Plc Recruitment for Entry-level Work Force Administration Assistant | Hot Nigerian Jobs.
Instrument Engineer at Remavic Solutions Nigeria Limited | Hot Nigerian Jobs.
Marketing and Sales Officer (ICT - Software) at W-Holistic Business Solutions | Hot Nigerian Jobs.
Entry-level Marketing and Sales Officer (Fashion) at W-Holistic Business Solutions | Hot Nigerian Jobs.
Head of Finance at EDC Schools | Hot Nigerian Jobs.
Installation Manager - Expat at Amaiden Energy Nigeria Limited | Hot Nigerian Jobs.
Recruitment Specialist (Business Development Consultants) at Bellforte Consulting | Hot Nigerian Jobs.
Account Director at Brand Footprint Communications | Hot Nigerian Jobs.
Dispatch Rider at Nigerian NewsDirect Newspaper | Hot Nigerian Jobs.
Graduate Accounting Officer at Nigerian NewsDirect Newspaper | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Ebonyi | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Enugu | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Cross River | Hot Nigerian Jobs.
NDDC Training in Home Finishing Skills Programme 2017.
Bellforte Consulting Fresh Job Recruitment (4 Positions) | Hot Nigerian Jobs.
EDC Schools Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
Front Office Personnel at a Top Pharmaceutical Organization - eRecruiter Nigeria Limited | Hot Nigerian Jobs.
Graduate Marketing Executives at SD Capital Resources Limited | Hot Nigerian Jobs.
React JS Developer at Tezza Business Solutions Limited | Hot Nigerian Jobs.
Web and mobile software developer.
GE Nigeria Operations Management Leadership Recruitment Program 2017.
Unilever Nigeria Fresh Graduate & Mid-level Job Recruitment  | Hot Nigerian Jobs.
Senior Business Analyst.
PHP Developer.
Graphic Designer.
MTN Nigeria Fresh Job Recruitment (9 Positions) - UPDATED | Hot Nigerian Jobs.
TDSP Translators Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
Remavic Solutions Nigeria Limited Fresh Job Recruitment (4 Positions) | Hot Nigerian Jobs.
W-Holistic Business Solutions Fresh Graduate & Exp. Job Recruitment (6 Positions) | Hot Nigerian Jobs.
Executive Driver.
SABMiller Plc Job for High End Account Representative.
Unilever Plc Recruitment for Graduate Work Force Administration Assistant.
Guinness Nigeria Plc Recruitment for Brewery Finance Manager.
Head of Finance.
Two & Four Stroke Marine Outboard Engineer.
Plusieur postes vacantes au sein de la Banque afrique de développement.
Recrutement d'un(e) Assistant(e) Logistique Import / Export au sein de Madlyn Cazalis.
Accountant.
Sales Executive / Sales Promoter.
Finance & Administration Manager Job at ABT Associate.
Database Manager Job at ABT Associate.
Entomology Coordinator Job at ABT Associate.
Psychosocial Counsellor at COOPI Cooperazione Internazionale | Hot Nigerian Jobs.
Entry-level Marketing and Sales Officer (Printing) at W-Holistic Business Solutions | Hot Nigerian Jobs.
Nursery and Early Years Care Giver at TippyToes KidCare Nursery and Daycare | Hot Nigerian Jobs.
Business Development Manager at Hempawa Consult | Hot Nigerian Jobs.
Graduate Core HR Admin Assistant Recruitment at Unilever Plc.
Marine Electrician.
Upholsery Technician.
Office Assistant Job at ABT Associate.
Senior Manager - Technical.
Field and Data Officer.
Graduate Information Technology Assistant at EngenderHealth | Hot Nigerian Jobs.
Construction Manager - Power Plant at Hobark International Limited (HIL) | Hot Nigerian Jobs.
Graduate Temporary Documentation Officer at Kizito Maritime Agencies Limited | Hot Nigerian Jobs.
Technical Assistant, Clinical Services at FHI 360 - Lagos | Hot Nigerian Jobs.
Senior Analyst, NAV Application Support at Stanbic IBTC Bank | Hot Nigerian Jobs.
Technical Officer, Monitoring & Evaluation at FHI 360 | Hot Nigerian Jobs.
Emergency Manager at the United Nations Children's Fund (UNICEF) | Hot Nigerian Jobs.
OCHA-Civil Military Coordination Officer at CANADEM | Hot Nigerian Jobs.
Graduate Engineering Assistant/Company Assistant at China International Telecommunication Construction Corporation (CITCC) | Hot Nigerian Jobs.
International Medical Corps (IMC) Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
Nuru International Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
SABmiller Plc Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
Case Worker Vacancy at Cooperazione Internazionale.
Psycho-social Counsellor Vacancy at Cooperazione Internazionale.
Stanbic IBTC Bank Recruitment for Senior Analyst.
Guinness Nigeria Plc Recruitment for Laboratory Technician.
Temporary Documentation Officer.
Head, Ethical Business Unit Job at Sanofi Nigeria.
Director - Leadership Programs at Kimpact Consulting | Hot Nigerian Jobs.
Resourcing Officer at Action Against Hunger | ACF-International | Hot Nigerian Jobs.
Sales Representative at SABmiller Plc | Hot Nigerian Jobs.
Head, Properties at AT&A Group Limited | Hot Nigerian Jobs.
Senior Clinical Program Manager at EngenderHealth  | Hot Nigerian Jobs.
Daily Contribution Collector.
Store Officer (Furniture).
Business Development Manager.
Customer Engineer Vacancy at NCR Corporation.
Senior Manager, Research.
Director, Research and Technical Education.
Administrative Officer.
Field and Data Officer.
Electrical / Electronics Engineer Vacancy at GZ Industries.
Finance Assistant Job at St. Racheals Pharmaceuticals Lts.
Guinness Nigeria Plc Fresh Graduate Scholarship Programme & Exp. Job Recruitment 2017 | Hot Nigerian Jobs.
Legal Officer at Dukan Group | Hot Nigerian Jobs.
Principal Agro-Industry/Investment Officer at the African Development Bank (AfDB) | Hot Nigerian Jobs.
Mining Engineer (Junior) at Mosra Enerji Limited | Hot Nigerian Jobs.
Legal Officer at Adron Homes and Properties Limited | Hot Nigerian Jobs.
Principal Budget, Programming and Performance Officer at the African Development Bank Group (AfDB) | Hot Nigerian Jobs.
Graduate Product Sales Engineer (Valve and Control) at a Leading Oil and Gas Company - Hamilton Lloyd and Associates | Hot Nigerian Jobs.
Direct Sales Executive at Westfield Consulting Limited | Hot Nigerian Jobs.
Farm Manager/Supervisor at Fulton McNaire Investment Limited  | Hot Nigerian Jobs.
Integrated Services Manager at a Leading Oil and Gas Company - Hamilton Lloyd and Associates | Hot Nigerian Jobs.
Product Sales Engineer at a Leading Oil and Gas Company - Hamilton Lloyd and Associates  | Hot Nigerian Jobs.
PHP Technical Team leader- Rapid Response Team at Oxfam Nigeria | Hot Nigerian Jobs.
Chief Quality and Methods Advisor at the African Development Bank Group (AfDB) | Hot Nigerian Jobs.
Director of Finance Vacancy at Save the Children.
Applications Sales Representative Vacancy at Oracle.
Graduate Engineering Assistant / Company Assistant.
Food Security Programme Manager at Secours Islamique France (SIF) | Hot Nigerian Jobs.
Professional Marketing Officer at Bluescripts IT Academy Limited | Hot Nigerian Jobs.
Multi Sector Project Coordinator at Solidarites International - Abuja, Borno | Hot Nigerian Jobs.
Chief of Party - Nigeria Effective WASH Services at Tetra Tech | Hot Nigerian Jobs.
Internal Auditor.
Graduate Senior Clinical Program Manager Job at EngenderHealth.
Electrical / Electronics Engineer at GZ Industries Limited | Hot Nigerian Jobs.
Quality Control/Quality Assurance Officer at Scripture Union (Nig.) Press & Books Limited | Hot Nigerian Jobs.
Business Head, Agriculture Vacancy at Simba Agric and Power.
Field Marketing Officer at Scripture Union (Nig.) Press & Books Limited | Hot Nigerian Jobs.
Applications Sales Representative at Oracle Nigeria | Hot Nigerian Jobs.
Reseller Agent at Sijison Training | Hot Nigerian Jobs.
APM Terminals Vacancy for General Manager, Finance and Accounting.
Flour Mills of Nigeria Recruitment for Production Manager - Golden Pasta.
Mall Business Manager.
