TITLES
S&S Hotels and Suites Fresh Graduate & Exp. Job Recruitment (5 Positions) - UPDATED | Hot Nigerian Jobs.
Front Office Supervisor at S&S Hotels and Suites | Hot Nigerian Jobs.
Store Keeper at S&S Hotels and Suites | Hot Nigerian Jobs.
VCE Infrastructure Engineer at Smart Partners Consulting Limited | Hot Nigerian Jobs.
Secretary.
Operations Manager.
IT Manager.
Marketing Manager.
General Manager.
M&E Assistant (Ebonyi) at the Centre for Health, Education, Economic, Rehabilitation and Social Security (CHEERS) | Hot Nigerian Jobs.
Senior Accountant.
Business Manager.
Junior GIS Expert.
Client Service Manager.
Catering Supervisor at Enroyale Global Services Limited | Hot Nigerian Jobs.
Marketing Executive.
Recrutement d'un Responsable Administratif & Financier de l'Hôtel chez Hotel La Falaise Bonapriso.
Internal Auditor.
HSE Sales Officer at Safety Consultants and Solutions Provider Limited | Hot Nigerian Jobs.
Internal Security Officer.
Technical Sales and Marketing Lead at Safety Consultants and Solutions Provider Limited | Hot Nigerian Jobs.
Entrepreneurial Public Relations Intern at Excel Corporation | Hot Nigerian Jobs.
Account Assistant.
Graduate Sales Development Representative at Infobip Nigeria | Hot Nigerian Jobs.
Administrative Officer at Safety Consultants and Solutions Provider Limited | Hot Nigerian Jobs.
Vice President of University Relations at the American University of Nigeria (AUN) | Hot Nigerian Jobs.
DKT International Nigeria Graduate Trainee Recruitment | Hot Nigerian Jobs.
Olakunle Soriyan Company Graduate Intern Recruitment | Hot Nigerian Jobs.
Sales Promoters at First Katalyst Marketing - Ogun | Hot Nigerian Jobs.
Radiography Sales Executive at ERS Nigeria Limited | Hot Nigerian Jobs.
Key Account Manager at Payd Nigeria | Hot Nigerian Jobs.
Procurement Officer at Compovine Technology Limited | Hot Nigerian Jobs.
Plan International Vacancy for Grants Manager in Emergencies.
Logisticians at Premiere Urgence Internationale (PUI) | Hot Nigerian Jobs.
Plan International Vacancy for HR Specialist - Deployment Roster.
Project Associate at ARM Life Plc | Hot Nigerian Jobs.


CONTENT
S&S Hotels and Suites, remain the hotel of choice for the business traveler who requires a convenient central location offering a welcome haven that feels like a second home and the unrivalled services personified by the warmth and dedication of our staff, as well as the discerning leisure traveler seeking the captivating dining and limitless nightlife destinations within walking distance of the hotel.
Internship Job Opportunities - There are numerous Internship Job positions currently open across various Nigerian companies in sectors like: Banking, Telecommunication, etc. Are you a Graduate and looking to find a full-fime job?.
The BBC is an international multimedia broadcaster on radio, TV, online and social networks with a weekly global audience of 320 million.
A reputable company is recruiting suitably qualified candidates to fill the position below: Job Title: Magazine Reporter Location: Lagos Requirements B.A/B.Sc in English, Mass Communication, Journalism, or related disciplines.
Annunciation specialist hospitaist hospital is owned by Sisters of daughters of divine love.The dental clinic is run by dental professionals and visiting consultants.We take care of all your dental needs.
Lapresbon International Company, a financial consulting firm based in Port Harcourt, due to its growth and rapid expansion, is recruiting to fill the position below: Job Title: Marketer Location: Nationwide   Basic Requirements Applicants must: Possess a Bachelor’s Degree or a National diploma in any social science or science related field Strong passion for sales and have a positive approach to the job Have excellent oral and written communication skills Ability to work without supervision Must be well organised and smart in the discharge of their duties Experience in marketing of bank products will be of added advantage.
A reputable company is recruiting suitably qualified candidates to fill the position below: Job Title: Magazine Editor Location: Lagos Requirements B.A/B.Sc in English, Mass Communication, Journalism, or related disciplines.
Sightsavers is an international organisation that changes lives for the long term.
FHI 360 is a nonprofit human development organization dedicated to improving lives in lasting ways by advancing integrated, locally driven solutions Our staff includes experts in Health.
Nampak is Africa’s leading diversified packaging manufacturer, and has been listed on the JSE Limited (Johannesburg Stock Exchange) for 47 years.
Sightsavers is an international organisation that changes lives for the long term.
Flour Mills of Nigeria Plc has been a part of the lives of Nigerians at home and abroad.
Sightsavers is an international organisation that changes lives for the long term.
Procter and Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral B just to name a few.
Hobark International Limited (HIL) is the parent company of the Hobark group operating in the oil and gas industry.
Annunciation specialist hospitaist hospital is owned by Sisters of daughters of divine love.The dental clinic is run by dental professionals and visiting consultants.We take care of all your dental needs.
Office of the High Commissioner For Human Rights (OHCHR) - As the principal United Nations office mandated to promote and protect human rights for all, OHCHR leads global human rights efforts speaks out objectively in the face of human rights violations worldwide.
A fast growing Distributor of star products (based in lkeja-Lagos) of the two leaders in breweries industry, urgently requires the services of suitably qualified candidates to fill the position below: Job Title: Salesman (Male & Female) Location: Lagos Qualifications Cognate working expedence of 5 years and above Good communication skill Target driven individuals Good dving expeñence with valid dñvers licence Highly computer literate Deep knowledge of Lagos State Roads network First Degree/HND certificate in any discipline.
Nigerian Defence Academy (NDA) - This is to inform the general public that online application for admission into the 70th Regular Course of the Nigerian Defence Academy (NDA), Kaduna will be available from 20th October, 2017 to 9th February, 2018.
Care Vision Support Initiative - A reputable Hospital located in Jos, Plateau State, is recruiting suitably qualified candidates to fill the following positions below: 1.) Laboratory Scientist/Technician Click Here To View Details 2.) Customer Service Officer/Receptionist Click Here To View Details 3.) Nurse Click Here To View Details 4.) Driver Click Here To View Details 5.) Ward Attendant Click Here To View Details 6.) Administrative Assistant Click Here To View Details Application Closing Date 21st November, 2017.
Rivers State Government, under the Rivers State Civil Service Commission, invite applications from suitably qualified candidates for employment as Health Sector Workers in Rivers State Public Service in the following capacities below: 1.) Graduate Public Health Sector Worker Click Here To View Details 2.) Graduate Optometrist Click Here To View Details 3.) Graduate Nurse/Midwife Click Here To View Details 4.) Graduate Pharmacist Click Here To View Details 5.) Entry-level Laboratory Technician/Assistant Click Here To View Details 6.) Entry-level Medical Records Technician/Assistant Click Here To View Details 7.) Graduate Radiographer Click Here To View Details 8.) Graduate Scientific Officer Click Here To View Details 9.) Graduate Hygienist Click Here To View Details 10.) Graduate Physiotherapist Click Here To View Details 11.) Graduate Nurse Click Here To View Details 12.) Graduate Community Health Officer Click Here To View Details 13.) Entry-level Pharmacy Technician Click Here To View Details 14.) Graduate Medical Laboratory Scientist Click Here To View Details 15.) Graduate Medical Laboratory Technologist Click Here To View Details 16.) Graduate Medical Records Officer Click Here To View Details 17.) Graduate Environmental Health Officer Click Here To View Details 18.) Graduate Dietician Click Here To View Details 19.) Graduate Biomedical Engineer Click Here To View Details Application Closing Date 2nd November, 2017.
Sightsavers is an international organisation that changes lives for the long term.
Swift Network is a Telecommunications company located in 5000 Whitestone Ln, Plano, Texas, United States.
A reputable Mechanical Engineering firm specializing in procurement of equipment for the Oil and Gas industry, with presence in Lagos, Akwa-lbom and Rivers States, is recruiting suitably qualified candidates to fill the position below: Job Title: Mechanical Engineer Location: Lagos Responsibilities Understanding contract arid procurement with details of specifications and Design outline.
Nampak is Africa’s leading diversified packaging manufacturer, and has been listed on the JSE Limited (Johannesburg Stock Exchange) for 47 years.
The International Rescue Committee (IRC) responds to the world’s worst humanitarian crises and helps people to survive and rebuild their lives.
The Chairman of the Independent National Electoral Commission, Prof. Mahmud Yakub, told the Senate Committee on INEC on Wednesday that the commission would recruit about one million ad hoc members of staff for the conduct of the 2019 general elections.
All Queen's Kitchen Limited is an indegenous Nigeria Company solely in for Food and Drinks manufacturing, Packaging and Distribution.
Drury is a shining example of self reliance in the field of heavy chemical manufacture.
Chelis Education Consult Limited - Our client, a reputable Montessori Nursery and Primary school in Ikorodu, Lagos State, requires the services of resourceful education professionals to fill the folowing vacant positions below:   1.).
Sightsavers is an international organisation that changes lives for the long term.
Peen Nigeria Limited, is licensed to provide Stevedoring services in Nigeria, and we are presently recruiting suitably qualified candidates to fill the following positions below: 1.).
British American Tobacco (www.bat.com) is a market leading, global organisation with a long, established history and a bright and dynamic future.
Guinness Nigeria Plc is a major market for Diageo: Guinness Nigeria operates in the unique and fast growing alcohol industry of over 15mhl beer potential.
Médecins du Monde or Doctors of the World, is an international humanitarian non-profit organization that provides emergency and long-term medical care to vulnerable populations while advocating for equal access to healthcare worldwide.
Meritabode Nigeria Limited is a Real Estate company situated and registered in Nigeria with the Corporate Affairs Commission (CAC) with registration number RC 1014354.
Medecins Du Monde or Doctors of the World, is an international humanitarian non-profit organization that provides emergency and long-term medical care to vulnerable populations while advocating for equal access to Healthcare worldwide.
The Visionscape Group is a multifaceted group of companies providing specialized solutions in diverse sectors of major industries across the world.
PFL is an international education consultancy with global presence in Asia, Africa, America, Australia, Dubai and Canada and the UK and operating in Nigeria since 1997.
IL Bagno is the regional distributor for the world’s leading manufacturers of sanitary ware and bathroom fittings and accessories.
Kranite Nigeria Limited commits itself to becoming an international company and a major Supplier and Designer Architectural Hardwares in Nigeria.
Oracle provides the world's most complete, open, and integrated business software and hardware systems, with more than 370,000 customers including 100 of the Fortune 100 representing a variety of sizes and industries in more than 145 countries around the globe.
TL First Group pioneers in integrating Accountancy, Management Consultancy, Public Service Productivity, Leadership Development and International Development in a unique way that improves the social economic wellbeing of citizens and the yield of investors.
LISSE AFRICA is an adept human resource consulting with key interest in the support recruitment industry with the aim of providing support staffs that are professional, verified and well documented.
Kloverharris Limited is a Human resource/IT Consulting company that provides high quality services to businesses across Africa.
Abuja Clinics, is a world class health facility dedicated to providing all your health needs, not only curative but also preventive.
ABB is a leader in power and automation technologies that enable utility, industry, and transport and infrastructure customers to improve their performance while lowering environmental impact.
Exolve Technologies Limited, is an Information Technology and Communication firm with core competencies in Web and Mobile Application Development, Enterprise Applications, Interactive Multimedia and Social Communities.
Sahel Capital Partners & Advisory Limited (SCPAL) is a leading management consulting firm focused on the agricultural and nutrition sectors in Africa.
Boch Systems Company Limited (BOCH) is a leading Systems Integration Company of choice.
Simeon's Pivot Resources - Our client in the e-commerce industry, is currently recruiting suitably qualified candidates to fill the vacant position below: Job Title: Web Developer Location: Lagos Requirements Candidates should have at least 2-3 years experience Lekki proximity will be a key/added advantage.
The British Government is an inclusive and diversity-friendly employer.
A reputable training institute located at the heart of Ikoyi, Lagos state with State-of -the- Art Facility, due to growth is desirous of hiring qualified and very experienced personnel for the post listed below: Job Title: Learning & Development Officer Job Ref: LDO.002 Location: lkoyi, Lagos State.
Sightsavers is an international organisation that changes lives for the long term.
A well established 150 bedroom hotel resort based on the Mainland, is seeking to employ top quality and experienced persons for the post of: Job Title: Pastry Chef Location: Lagos Requirement Candidates should possess minimum of 5 years working experience.
MTN Nigeria - The leader in telecommunications in Nigeria, and a part of a diverse community in Africa and the Middle East, our brand is instantly recognisable.
Fan Milk Plc is a leading manufacturer and marketer of healthy, nutritious and safe frozen dairy and non-frozen dairy food products with distribution channels across the length and breadth of Nigeria.
Omnilife Group is a Mexico-based multi-level marketing company that distributes dietary supplements.
A Lagos based fast developing company with branches in the various states of the federation with many good books on important subjects for various levels of education at hand needs the services /assistance of ABLE BUSINESS PARTNERS from any part of the country to cope with the very high demand for the books nationwide.
Audacious is Nigeria's fastest growing fashion retail organization.
Ideashouse Marketing Communications Limited - We are marketing services company that focus on the core areas of Marketing Leadership and Revenue Growth solutions for our clients and key prospects.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environs), invites applications from suitably qualified candidates to fill the following positions below: 1.) Technician (Laboratory) Click Here To View Details 2.) Technician (Radiology) Click Here To View Details 3.) Technician (ECG) Click Here To View Details 4.) Finance & Admin Officer Click Here To View Details 5.) Marketing/Operations Executive Click Here To View Details 6.) Cashier Click Here To View Details 7.) Receptionist Click Here To View Details 8.) Housekeeper Click Here To View Details 9.) Security Officer Click Here To View Details 10.) Cook Click Here To View Details 11.) Consultant (Urology) Click Here To View Details 12.) Consultant (Radiology) Click Here To View Details 13.) Consultant (Critical Care) Click Here To View Details 14.) Medical Officer Click Here To View Details 15.) Operations Controller Click Here To View Details 16.) Matron Click Here To View Details 17.) Assistant Matron Click Here To View Details 18.) Nurse Click Here To View Details 19.) Entry-level Nursing Assistant Click Here To View Details 20.) Graduate Pharmacist Click Here To View Details 21.) Chief Medical Officer (Consultant) Click Here To View Details 22.) Consultant (Surgery) Click Here To View Details 23.) Consultant (Pediatrics) Click Here To View Details 24.) Consultant (Obstetrics & Gynecology) Click Here To View Details 25.) Consultant (Anesthesia) Click Here To View Details 26.) Consultants (Dermatology) Click Here To View Details Application Closing Date 15th November, 2017.
NOVEMBER 2017 TRAININGS >> INTERNATIONAL HUMAN RESOURCE MANAGEMENT TRAINING (PCHRM); 4 & 5 NOVEMBER 2017.
Federal Medical Centre, Owerri - We are committed to being a versatile team spirited hospital system which sustains efficient, high quality, affordable, specialized services further enhanced through Research and Human Resource development.
Coronation Merchant Bank - We are a Nigeria-based investment bank that provides innovative, long-term financial solutions to corporations, state governments and other financial services organisations.
Google is not a conventional company, and we don't intend to become one.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environs), invites applications from suitably qualified candidates to fill the position below: Job Title: Marketing/Operations Executive Location: Enugu Requirements Candidates should possess relevant qualifications.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environs), invites applications from suitably qualified candidates to fill the position below: Job Title: Cashier Location: Enugu Requirements Candidates should possess relevant qualifications.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environs), invites applications from suitably qualified candidates to fill the position below: Job Title: Operations Controller Location: Enugu Requirement Candidates should possess relevant qualifications, with minimum of 7 years experience in Hospital Administration and Finance.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environs), invites applications from suitably qualified candidates to fill the position below: Job Title: Medical Officer Location: Enugu Requirement Candidates should possess relevant qualifications, with experience in organizations of repute.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environs), invites applications from suitably qualified candidates to fill the position below: Job Title: Consultant (Radiology) Location: Enugu Employment Type: Full Time Requirement Candidates should possess relevant qualifications.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environs), invites applications from suitably qualified candidates to fill the position below: Job Title: Consultant (Urology) Location: Enugu Employment Type: Full Time Requirement Candidates should possess relevant qualifications.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environs), invites applications from suitably qualified candidates to fill the position below: Job Title: Consultant (Dermatology) Location: Enugu Employment Type: Full Time Requirement Candidates should possess relevant qualifications.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environs), invites applications from suitably qualified candidates to fill the position below: Job Title: Consultant (Obstetrics & Gynecology) Location: Enugu Employment Type: Full Time Requirement Candidates should possess relevant qualifications.
The Senate of the University of Uyo wishes to announce to all graduands, parents, guardians and the general public, that the Combined 22nd and 23rd Convocation for the conferment of Honorary Degrees, Higher Degrees, First Degrees, and the award of Diplomas, Certificates and Prizes to her 2013/2014/and 2014/2015 Sessions graduands will take place as follows: Thursday, November 02, 2017 Alumni Home-Coming - 10.00a.m Venue: Onyema Ugochukwu Auditorium Alumni Tour of the Campus Alumni Dinner - 7.00p.m.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environs), invites applications from suitably qualified candidates to fill the position below: Job Title: Consultant (Pediatrics) Location: Enugu Employment Type: Full Time Requirement Candidates should possess relevant qualifications.
Erisco Foods Limited, a leading manufacturer of Tomato paste and other made in Nigeria drinks and food products and the 4th largest tomato paste producing company in the world, is hereby seeking to employ the services of qualified individuals to fill the position below: Job Title: Caterer Location: Lagos Job Description Creativity: Candidate must possess great ideas of creating new and innovative dishes for celebrations or events, as well as knowing what will be possible to cook all at once.
AIICO Insurance Plc - We are the market leader in life insurance business and a major player in General Insurance in Nigeria today and our business is expanding rapidly.
An ultra-modem specialist Hospital located on the Mainland in Lagos State, requires the below staff for immediate employment: Job Title: Experienced Nurse and Midwife Location: Lagos Qualifications Must possess a Diploma or Degree in Nursing/midwifery.
Kofo Agro Allied is an agricultural based company looking to integrate farming with processing of raw agricultural produce.
Sumal Foods Limited is a name entirely synonymous with quality and is highly committed to maintaining its moral beliefs.
Sumal Foods Limited is a name entirely synonymous with quality and is highly committed to maintaining its moral beliefs.
Sumal Foods Limited is a name entirely synonymous with quality and is highly committed to maintaining its moral beliefs.
Boton Electric Nigeria Fze. - The company specializes in manufacturing and sales of electrical accessories like switches, sockets, etc.
A reputable Security Company with headquarters in Lagos is urgently looking for the service of the personnel below in Lagos, Abuja and Port Harcourt offices: Job Title: Security Coordinator Locations: Lagos, Abuja and Port Harcourt Requirements First Degree or equivalent.
The Nigerian Stock Exchange, services the largest economy in Africa, and is championing the development of Africa’s financial markets.
Kofo Agro Allied is an agricultural based company looking to integrate farming with processing of raw agricultural produce.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environs), invites applications from suitably qualified candidates to fill the position below: Job Title: Housekeeper Location: Enugu Requirements Candidates should possess relevant qualifications.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environs), invites applications from suitably qualified candidates to fill the position below: Job Title: Receptionist Location: Enugu Requirements Candidates should possess relevant qualifications.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environs), invites applications from suitably qualified candidates to fill the position below: Job Title: Consultant (Surgery) Location: Enugu Employment Type: Full Time Requirement Candidates should possess relevant qualifications.
St. Basil Hospital, a reputable new Hospital in Enugu State (within Trans Ekulu/Nike environ) invites applications from suitably qualified candidates to fill the position below: Job Title: Chief Medical Officer (Consultant) Location: Enugu Requirement The candidate must be a General Practitioner/Surgeon. Application Closing Date 15th November, 2017.
Hobark International Limited (HIL) is the parent company of the Hobark group operating in the oil and gas industry.
Unilever Nigeria - Welcome to Unilever, a global multinational and fast-moving consumer goods (FMCG) company with products sold in over 190 countries and more than 2 billion consumers across the world who use our amazing products everyday!.
Secours Islamique France (SIF) is a Non-Governmental Organization of international solidarity based in France.
At South Shore Women's and Children's Hospital, we are focused on the provision of excellent and individualized care to our patients.
At South Shore Women's and Children’s Hospital, we are focused on the provision of excellent and individualized care to our patients.
Perfecmix Solutions - Our client, a reputable Property Developers and Marketing company based in Lagos Island, is currently looking for experienced candidates to fill the position below: Job Title: Sales and Marketing Team Lead Location: Lagos Responsibilities Proven track record in end to end sales from initial appointment, through to presentation, negotiation and contract signature Maintain accurate customer data base for reporting, mailing and marketing programs Develop and implement strategic sales plans Deliver sales presentations/proposals to prospective clients with a successful closing rate Meet and exceed Sales Target Qualifications & Requirements Minimum of 5years’ sales track record with at least a year in a property development or real estate agency Minimum good OND or Bachelor Degree in Humanities, Socials Sciences, Marketing who can bring results.
Perfecmix Solutions - Our client, a Financial Servicing Company based in Lagos, is currently looking for experienced candidates to fill the position below: Job Title: Personal Assistant to MD Location: Lagos Job Description We are looking for Personal Assistant to support the Managing Director.
FlexEdge Limited is a wholly indigenous Recruitment and Employee/ People Development Company incorporated in 2012.
Dreamfield Farm Resorts, is recruiting suitably qualified candidates to fill the position below: Job Title: Security Personnel Location: Lagos Job Description Secures premises, personnel’s and properties; Inspecting buildings, equipment’s, and access points; Assisting in entry and exit of customers by helping them with the door.
United Nations Development Programme (UNDP), helps developing countries attract and use aid effectively.
ValueFronteira Limited - Our client, an internationally reputed Civil Engineering company, requires the services of suitably qualified candidates to fill the position below: Job Title: Electrical Engineer Location: Lagos Requirements Interested candidates must: Hold a Masters Degree in Electrical Engineering.
Hobark International Limited (HIL) is the parent company of the Hobark group operating in the oil and gas industry.
Workforce Group  - Our client, a world’s leading consumer products company, offering a uniquely diverse portfolio of beverage products.
The International NGO Safety Organisation (INSO), is a global charity dedicated exclusively to issues of humanitarian safety and to the operation of NGO Safety Offices (NSO) in volatile or insecure contexts.
Ladkem Eye Hospital - We are a registered organization with the Lagos State Health Facility Monitoring Agency and the National Health Insurance Scheme as secondary providers of optometric and ophthalmologic services.
Rescue Technologies Limited - Our Company is a foremost provider of technically enhanced Emergency and Medical services solutions.
A model Muslim college in Ikorodu, is recruiting suitably qualified candidates to fill the position of: Job Title: Mathematics/ Further-maths Teacher Location: Ikorodu, Lagos Qualifications B.Sc in Mathematics B.Eng in any engineering field HND in any engineering field, or B.Edu Mathematics At least two years teaching experience in secondary school.
Romanspage Global - Our client, due to expansion, is currently recruiting suitably qualified candidates to fill the position below: Job Title: Marketing Manager Location: Lagos Job Type: Full-time Job Description Managing all marketing for the company and activities within the marketing department.
World Health Organization (WHO) is the directing and coordinating authority for health within the United Nations system.
Tezza Business Solutions Limited, is a leading Software Quality Assurance and Testing multinational with a regional office in Lagos, Nigeria.
Westown Hotel - As a luxury four star hotel in Lagos, Westown hotel can boast of some of the best staff in the industry.
At South Shore Women's and Children’s Hospital, we are focused on the provision of excellent and individualized care to our patients.
At South Shore Women's and Children's Hospital, we are focused on the provision of excellent and individualized care to our patients.
ARM Life is the Insurance subsidiary of Asset & Resource Management Company Ltd (ARM).
Kranite Nigeria Limited commits itself to becoming an international company and a major Supplier and Designer Architectural Hardwares in Nigeria.
Hilton is the leading global hospitality company, spanning the lodging sector from luxurious full-service hotels and resorts to extended-stay suites and mid-priced hotels.
Hilton is the leading global hospitality company, spanning the lodging sector from luxurious full-service hotels and resorts to extended-stay suites and mid-priced hotels.
Transsion Holdings, best known for its leading mobile brands including TECNO, itel and Infinix, is a diversified hi-tech group specialized in mobility solutions with presence widespread in nearly 50 countries globally.
The MacTay Group, is a leading consulting company with its sole aim to nurture and improve growth in people and establishments by offering strategic and operations consulting services.
At South Shore Women's and Children's Hospital, we are focused on the provision of excellent and individualized care to our patients.
COOPI Cooperazione Internazionale, is a humanitarian, non-confessional and independent organization founded in 1965 in Milan, Italy.
COOPI Cooperazione Internazionale, is a humanitarian, non-confessional and independent organization founded in 1965 in Milan, Italy.
COOPI Cooperazione Internazionale, is a humanitarian, non-confessional and independent organization founded in 1965 in Milan, Italy.
COOPI Cooperazione Internazionale, is a humanitarian, non-confessional and independent organization founded in 1965 in Milan, Italy.
Dragnet Solutions Limited - Our client, a 3rd Party Logistics Service Provider of Shipment, Clearing & Freight Forwarding services, is currently seeking to engage experienced candidates in the capacity below: Job Title: Client Relationship Management Executive Location: Lagos Job Description Candidates will be expected to manage and oversee all Corporate Client Relationship functions, Government Agency Relations, ensure total Customer satisfaction, loyalty and retention.
A reputable company in Lagos State is recruiting suitably qualified candidates to fill the position below: Job Title: Account Manager Location: Lagos Job Purpose Responsible for the daily operations of the Finance department.
Nicole Sinclair is a dynamic management consulting firm set up to help start-up, small and medium businesses maximize their vision and achieve their highest potential through effective planning, structuring and maximized use of their resources.
SABMiller is in the beer and soft drinks business, bringing refreshment and sociability to millions of people all over the world who enjoy our drinks.
COOPI Cooperazione Internazionale, is a humanitarian, non-confessional and independent organization founded in 1965 in Milan, Italy.
Veralyssa Limited is an interior design, finishing, planning and project management company committed to finding precise solutions to the changing demands of our various clients while still providing high standards of comfort and satisfaction.
United Nations Development Programme (UNDP), helps developing countries attract and use aid effectively.
First Bank of Nigeria Limited (FirstBank) is Nigeria’s largest financial services institution by total assets and gross earnings.
The Nigerian Army, invites applications from suitable qualified candidates for the 2018 Housemanship/Internship training at 68 Nigerian Army Reference Hospital, Yaba (68 NARHY) in the underlisted position: Job Title: Pharmacy Intern Location: Lagos Requirements Applicants must possess Degree in the profession and valid provisional licenses with appropriate professional bodies.
The Nigerian Army, invites applications from suitable qualified candidates for the 2018 Housemanship/Internship training at 44 Nigerian Army Reference Hospital, Kaduna (44 NARHK) in the underlisted position: Job Title: Pharmacy Intern Location: Kaduna Requirements Applicants must possess Degree in the profession and valid provisional licenses with appropriate professional bodies.
First Bank of Nigeria Limited (FirstBank) is Nigeria’s largest financial services institution by total assets and gross earnings.
First Bank of Nigeria Limited (FirstBank) is Nigeria’s largest financial services institution by total assets and gross earnings.
The Nigerian Army, invites applications from suitable qualified candidates for the 2018 Housemanship/Internship training at 44 Nigerian Army Reference Hospital, Kaduna (44 NARHK) in the underlisted position: Job Title: Dental House Officer Location: Kaduna Requirements Applicants must possess Degree in the profession and valid provisional licenses with appropriate professional bodies.
Plan international is an independent child-centered international development and humanitarian organization striving for a just world that advances children's rights and equality for girls.
The Nigerian Army, invites applications from suitable qualified candidates for the 2018 Housemanship/Internship training at 44 Nigerian Army Reference Hospital, Kaduna (44 NARHK) in the underlisted position: Job Title: Radiography Intern Location: Kaduna Requirements Applicants must possess Degree in the profession and valid provisional licenses with appropriate professional bodies.
The Nigerian Army, invites applications from suitable qualified candidates for the 2018 Housemanship/Internship training at 68 Nigerian Army Reference Hospital, Yaba (68 NARHY) in the underlisted position: Job Title: Physiotherapy Intern Location: Lagos Requirements Applicants must possess Degree in the profession and valid provisional licenses with appropriate professional bodies.
The Nigerian Army, invites applications from suitable qualified candidates for the 2018 Housemanship/Internship training at Military Hospital, Lagos (MHI) in the underlisted position: Job Title: Dental House Officer Location: Lagos Requirements Applicants must possess Degree in the profession and valid provisional licenses with appropriate professional bodies.
The Nigerian Army, invites applications from suitable qualified candidates for the 2018 Housemanship/Internship training at Military Hospital, Lagos (MHI) in the underlisted position: Job Title: Medical House Officer Location: Lagos Requirements Applicants must possess Degree in the profession and valid provisional licenses with appropriate professional bodies.
Plan international is an independent child-centered international development and humanitarian organization striving for a just world that advances children's rights and equality for girls.
First Bank of Nigeria Limited (FirstBank) is Nigeria’s largest financial services institution by total assets and gross earnings.
First Bank of Nigeria Limited (FirstBank) is Nigeria’s largest financial services institution by total assets and gross earnings.
HiiT Plc is an experienced Company in the ICT Industry with major focus on IT training/Education, Publishing, IT Solutions Development & Services, e-Learning Solution Development and Implementation among other businesses.
The NewsDirect Global Concept, publisher of Nigerian NewsDirect Newspaper was registered with the Corporate Affairs Commission on Aug 16, 2009.
The NewsDirect Global Concept, publisher of Nigerian NewsDirect Newspaper was registered with the Corporate Affairs Commission on Aug 16, 2009.
The United Nations Children's Fund (UNICEF) - For 70 years, UNICEF has been working on the ground in 190 countries and territories to promote children's survival, protection and development.
The Nigerian Army, invites applications from suitable qualified candidates for the 2018 Housemanship/Internship training at 68 Nigerian Army Reference Hospital, Yaba (68 NARHY) in the underlisted position: Job Title: Dental Therapy Intern Location: Lagos Requirements Applicants must possess Degree in the profession and valid provisional licenses with appropriate professional bodies.
The Governing Council of the Federal College of Education, Eha-Amufu, invites applications from suitably qualified candidates to fill the vacant position below: Job Title: Provost Advert Ref: FCEE/CR/59/2017/286 Location: Enugu Responsibilities The Provost is the Chief Executive of the College and has the statutory responsibility for matters relating to the day-to-day management of the College.
The Nigerian Army, invites applications from suitable qualified candidates for the 2018 Housemanship/Internship training at Military Hospital, Lagos (MHI) in the underlisted position: Job Title: Dental Technology Intern Location: Lagos Requirements Applicants must possess Degree in the profession and valid provisional licenses with appropriate professional bodies.
The Nigerian Army, invites applications from suitable qualified candidates for the 2018 Housemanship/Internship training at 68 Nigerian Army Reference Hospital, Yaba (68 NARHY) in the underlisted position: Job Title: Dental Technology Intern Location: Lagos Requirements Applicants must possess Degree in the profession and valid provisional licenses with appropriate professional bodies.
The Nigerian Army, invites applications from suitable qualified candidates for the 2018 Housemanship/Internship training at 68 Nigerian Army Reference Hospital, Yaba (68 NARHY) in the underlisted position: Job Title: Optometry Intern Location: Lagos Requirements Applicants must possess Degree in the profession and valid provisional licenses with appropriate professional bodies.
The Nigerian Army, invites applications from suitable qualified candidates for the 2018 Housemanship/Internship training at Military Hospital, Lagos (MHI) in the underlisted position: Job Title: Medical Laboratory Science Intern Location: Lagos Requirements Applicants must possess Degree in the profession and valid provisional licenses with appropriate professional bodies.
The NewsDirect Global Concept, publisher of Nigerian NewsDirect Newspaper was registered with the Corporate Affairs Commission on Aug 16, 2009.
The NewsDirect Global Concept, publisher of Nigerian NewsDirect Newspaper was registered with the Corporate Affairs Commission on Aug 16, 2009.
The NewsDirect Global Concept, publisher of Nigerian NewsDirect Newspaper was registered with the Corporate Affairs Commission on Aug 16, 2009.
Plan international is an independent child-centered international development and humanitarian organization striving for a just world that advances children's rights and equality for girls.
